店舗コード,ビジネス名,住所,ラベル,総合評価,合計検索数,直接検索数,間接検索数,合計表示回数,検索経由の閲覧数,マップ経由の閲覧数,合計反応数,ウェブサイトへのアクセス数,ルートの照会数,通話数
,,,,このリスティングの総合評価（レポートの作成日現在）,Google 検索や Google マップでの検索によって、このリスティングが発見された回数,Google 検索や Google マップで、ビジネスの名前や住所による検索で、このリスティングが表示された回数,Google 検索や Google マップで、カテゴリや商品、サービスの検索で、このリスティングが発見された回数,このリスティングが Google 検索や Google マップで閲覧された回数,このリスティングが Google 検索で閲覧された回数,このリスティングが Google マップで閲覧された回数,Google 検索や Google マップで、このリスティングに対して操作が発生した回数,このリスティングからウェブサイトへのアクセスが発生した回数,このリスティングからルートがリクエストされた回数,このリスティングから問い合わせの電話がかかった回数
garage,Garage Kitchen あそび,〒273-0031 千葉県 船橋市西船４丁目２９−１３ ルネスgen1F,,4.1,14890,1805,13085,31939,5422,26517,130,76,43,11
wanaichimoku,焼ジビエ罠 一目 ＠船橋,〒273-0005 千葉県 船橋市本町2-26-28,,4.2,3456,358,3098,6657,1898,4759,58,37,18,3
19,焼ジビエ 罠 炭打 中目黒,〒153-0051 東京都 目黒区上目黒３丁目８−３ 1F,"罠, 中目黒, ジビエ",4.2,6393,487,5906,10613,3126,7487,64,25,33,6
tourou,路地ノ裏 灯篭,〒2730031 千葉県 船橋市西船4-28-11,,4.1,4534,160,4374,7640,1183,6457,25,17,4,4
fes,FES by asobi,〒273-0005 千葉県 船橋市本町4-40-1 レオセントラルスクエア１F,,4.0,10989,963,10026,17884,5870,12014,123,49,64,10
