店舗コード,ビジネス名,住所,ラベル,総合評価,合計検索数,直接検索数,間接検索数,合計表示回数,検索経由の閲覧数,マップ経由の閲覧数,合計反応数,ウェブサイトへのアクセス数,ルートの照会数,通話数
,,,,このリスティングの総合評価（レポートの作成日現在）,Google 検索や Google マップでの検索によって、このリスティングが発見された回数,Google 検索や Google マップで、ビジネスの名前や住所による検索で、このリスティングが表示された回数,Google 検索や Google マップで、カテゴリや商品、サービスの検索で、このリスティングが発見された回数,このリスティングが Google 検索や Google マップで閲覧された回数,このリスティングが Google 検索で閲覧された回数,このリスティングが Google マップで閲覧された回数,Google 検索や Google マップで、このリスティングに対して操作が発生した回数,このリスティングからウェブサイトへのアクセスが発生した回数,このリスティングからルートがリクエストされた回数,このリスティングから問い合わせの電話がかかった回数
garage,Garage Kitchen あそび,〒273-0031 千葉県 船橋市西船４丁目２９−１３ ルネスgen1F,,4.1,17041,2188,14853,33031,6432,26599,189,101,67,21
wanaichimoku,焼ジビエ罠 一目 ＠船橋,〒273-0005 千葉県 船橋市本町2-26-28,,4.2,4387,529,3858,8459,1895,6564,56,32,18,6
19,焼ジビエ 罠 炭打 中目黒,〒153-0051 東京都 目黒区上目黒３丁目８−３ 1F,"罠, 中目黒, ジビエ",4.2,5561,480,5081,9209,2685,6524,52,21,21,10
tourou,路地ノ裏 灯篭,〒2730031 千葉県 船橋市西船4-28-11,,4.1,4563,239,4324,7346,1040,6306,21,11,9,1
fes,FES by asobi,〒273-0005 千葉県 船橋市本町4-40-1 レオセントラルスクエア１F,,4.0,16517,4107,12410,34623,6557,28066,177,85,82,10
