,0
0,640
1,3000
2,3500
3,3800
4,2800
5,4000
6,830
7,5000
8,6500
9,5500
10,750
11,4200
12,4500
13,550
14,3300
15,4500
16,4000
17,11000
18,3200
19,640
20,3000
21,3500
22,3800
23,730
24,4200
25,4000
26,4500
27,830
28,5000
29,6500
30,2800
