id,month_key,date,week,top,photo,photo_info,rating,menu,map,coupon,p_coupon,seat,other,total
81,2020-07,2020-07-20,"月",37,3,0,4,4,5,8,0,3,10,74
82,2020-07,2020-07-21,"火",29,3,0,8,7,1,1,0,3,9,61
83,2020-07,2020-07-22,"水",79,4,4,3,29,5,2,0,3,14,143
84,2020-07,2020-07-23,"木",131,20,22,23,45,12,6,0,6,29,294
85,2020-07,2020-07-24,"金",80,2,0,4,24,17,15,0,7,33,182
86,2020-07,2020-07-25,"土",63,15,7,6,21,4,1,0,4,9,130
87,2020-07,2020-07-26,"日",45,8,4,6,11,4,4,0,4,6,92
88,2020-07,2020-07-27,"月",74,22,77,16,47,9,1,0,6,15,267
89,2020-07,2020-07-28,"火",47,10,1,1,19,2,3,0,6,4,93
90,2020-07,2020-07-29,"水",26,10,4,4,20,3,1,0,4,3,75
91,2020-07,2020-07-30,"木",30,3,0,5,11,5,1,0,4,7,66
92,2020-07,2020-07-31,"金",60,16,58,7,17,8,7,0,8,10,191
93,2020-06,2020-06-01,"月",10,2,0,0,9,0,1,0,0,2,24
94,2020-06,2020-06-02,"火",12,0,1,2,5,1,0,0,0,0,21
95,2020-06,2020-06-03,"水",11,0,0,0,2,1,0,0,0,0,14
96,2020-06,2020-06-04,"木",11,0,0,3,1,1,6,0,0,1,23
97,2020-06,2020-06-05,"金",23,6,1,1,10,0,0,0,0,2,43
98,2020-06,2020-06-06,"土",28,3,5,5,10,1,7,0,1,1,61
99,2020-06,2020-06-07,"日",29,4,1,24,17,1,1,0,0,10,87
100,2020-06,2020-06-08,"月",16,2,3,9,7,1,3,0,0,1,42
101,2020-06,2020-06-09,"火",25,3,2,4,4,2,2,0,1,3,46
102,2020-06,2020-06-10,"水",11,9,1,0,6,0,0,0,2,0,29
103,2020-06,2020-06-11,"木",22,1,0,20,10,1,1,0,2,2,59
104,2020-06,2020-06-12,"金",22,15,7,6,15,2,5,0,2,7,81
105,2020-06,2020-06-13,"土",35,29,16,19,27,3,6,0,2,15,152
106,2020-06,2020-06-14,"日",17,21,20,9,7,1,0,0,0,3,78
107,2020-06,2020-06-15,"月",6,5,2,0,0,0,0,0,0,0,13
108,2020-06,2020-06-16,"火",26,25,13,25,9,0,4,0,0,20,122
109,2020-06,2020-06-17,"水",22,40,64,24,2,2,1,0,0,2,157
110,2020-06,2020-06-18,"木",33,12,9,10,3,7,1,0,1,11,87
111,2020-06,2020-06-19,"金",27,4,56,2,8,5,0,0,0,5,107
112,2020-06,2020-06-20,"土",54,21,19,10,27,4,6,0,0,9,150
113,2020-06,2020-06-21,"日",27,8,4,11,8,2,0,0,2,1,63
114,2020-06,2020-06-22,"月",8,0,0,3,1,0,0,0,0,1,13
115,2020-06,2020-06-23,"火",0,0,1,2,2,0,0,0,0,2,7
116,2020-06,2020-06-24,"水",13,2,3,5,2,1,0,0,0,0,26
117,2020-06,2020-06-25,"木",29,12,19,22,29,3,5,0,0,10,129
118,2020-06,2020-06-26,"金",19,11,8,9,5,0,2,0,0,12,66
119,2020-06,2020-06-27,"土",46,15,8,6,23,4,9,0,1,11,123
120,2020-06,2020-06-28,"日",32,9,0,26,11,3,1,0,0,4,86
121,2020-06,2020-06-29,"月",38,11,3,21,11,8,1,0,0,13,106
122,2020-06,2020-06-30,"火",26,3,1,16,10,3,4,0,3,5,71
123,2020-05,2020-05-01,"金",24,4,1,9,6,1,1,0,0,8,54
124,2020-05,2020-05-02,"土",13,1,0,5,13,0,0,0,0,2,34
125,2020-05,2020-05-03,"日",19,3,1,12,5,0,1,0,2,0,43
126,2020-05,2020-05-04,"月",4,0,0,0,2,0,0,0,0,0,6
127,2020-05,2020-05-05,"火",11,21,12,0,1,0,0,0,0,0,45
128,2020-05,2020-05-06,"水",15,4,2,17,1,1,3,0,0,13,56
129,2020-05,2020-05-07,"木",4,0,0,3,0,0,0,0,0,0,7
130,2020-05,2020-05-08,"金",5,0,0,2,0,0,1,0,0,1,9
131,2020-05,2020-05-09,"土",16,8,10,4,3,2,0,0,0,8,51
132,2020-05,2020-05-10,"日",20,5,12,5,5,1,0,0,0,4,52
133,2020-05,2020-05-11,"月",16,0,0,8,1,5,1,0,0,4,35
134,2020-05,2020-05-12,"火",10,5,2,2,2,0,0,0,1,9,31
135,2020-05,2020-05-13,"水",6,15,142,10,1,0,0,0,0,13,187
136,2020-05,2020-05-14,"木",9,3,2,4,3,0,0,0,1,0,22
137,2020-05,2020-05-15,"金",26,5,2,8,6,2,0,0,0,4,53
138,2020-05,2020-05-16,"土",10,0,0,2,6,1,1,0,0,4,24
139,2020-05,2020-05-17,"日",15,3,1,14,2,0,3,0,0,2,40
140,2020-05,2020-05-18,"月",3,1,0,2,0,0,1,0,0,0,7
141,2020-05,2020-05-19,"火",19,16,30,5,11,2,1,0,1,0,85
142,2020-05,2020-05-20,"水",15,9,7,0,3,0,2,0,0,1,37
143,2020-05,2020-05-21,"木",25,6,13,7,7,3,2,0,2,11,76
144,2020-05,2020-05-22,"金",19,20,24,4,5,2,0,0,0,5,79
145,2020-05,2020-05-23,"土",12,2,0,5,7,0,0,0,0,0,26
146,2020-05,2020-05-24,"日",22,0,0,7,9,3,0,0,0,2,43
147,2020-05,2020-05-25,"月",27,5,3,9,15,1,3,0,0,11,74
148,2020-05,2020-05-26,"火",8,0,0,0,4,0,1,0,1,6,20
149,2020-05,2020-05-27,"水",19,3,0,12,2,1,3,0,0,1,41
150,2020-05,2020-05-28,"木",17,0,0,3,9,1,0,0,1,4,35
151,2020-05,2020-05-29,"金",32,11,3,16,14,2,6,0,2,2,88
152,2020-05,2020-05-30,"土",34,33,21,7,18,11,0,0,1,10,135
153,2020-05,2020-05-31,"日",8,3,7,5,4,1,0,0,1,0,29
154,2020-04,2020-04-01,"水",25,5,3,9,11,2,4,0,1,4,64
155,2020-04,2020-04-02,"木",28,11,9,16,10,5,2,0,6,8,95
156,2020-04,2020-04-03,"金",20,13,7,1,12,1,1,0,1,4,60
157,2020-04,2020-04-04,"土",55,11,20,45,28,7,5,0,9,14,194
158,2020-04,2020-04-05,"日",45,11,9,22,22,4,1,0,2,17,133
159,2020-04,2020-04-06,"月",20,4,19,14,8,1,1,0,1,2,70
